"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GKPVX4TX","journalArticle","2010","Zhang, Y.","Accounting for ecosystem services in life cycle assessment, part I: A critical review","Environmental Science & Technology","","","","","","2010","2023-10-20 14:17:08","2023-10-20 14:17:11","","2232–2242","","7","44","","","","","","","","","","en","","","","","","","Citation Key: zhang2010a","","; ","https://www.crossref.org/openurl?pid=zoteroDOI@wiernik.org&url_ver=Z39.88-2004&ctx_ver=Z39.88-2004&rfr_id=info%3Asid%2Fzotero.org%3A2&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&rft.genre=article&rft.atitle=Accounting%20for%20ecosystem%20services%20in%20life%20cycle%20assessment%2C%20part%20I%3A%20A%20critical%20review&rft.jtitle=Environmental%20Science%20%26%20Technology&rft.volume=44&rft.issue=7&rft.aufirst=Y.&rft.aulast=Zhang&rft.au=Y.%20Zhang&rft.date=2010&rft.pages=2232%E2%80%932242&rft.spage=2232&rft.epage=2242&rft.language=en; https://www.crossref.org/openurl?pid=zoteroDOI@wiernik.org&url_ver=Z39.88-2004&ctx_ver=Z39.88-2004&rfr_id=info%3Asid%2Fzotero.org%3A2&rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&rft.genre=article&rft.atitle=Accounting%20for%20ecosystem%20services%20in%20life%20cycle%20assessment%2C%20part%20I%3A%20A%20critical%20review&rft.jtitle=Environmental%20Science%20%26%20Technology&rft.volume=44&rft.issue=7&rft.aufirst=Y.&rft.aulast=Zhang&rft.au=Y.%20Zhang&rft.date=2010&rft.pages=2232%E2%80%932242&rft.spage=2232&rft.epage=2242&rft.language=en","","❓ Multiple DOI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8AXNYHEA","journalArticle","2019","Alejandre, E.M.; Bodegom, P.M.; Guinée, J.B.","Towards an optimal coverage of ecosystem services in LCA","Journal of Cleaner Production","","","10.1016/j.jclepro.2019.05.284","","","2019","2023-10-20 14:17:08","2023-10-20 14:17:11","","714–722","","","231","","","","","","","","","","en","","","","","","","Citation Key: alejandre2019a","","/Users/rainerkrug/Zotero [IPBES_BBA_Ch4_Snowball_Pilot_1] /storage/KGWE4QIU/Alejandre et al_2019_Towards an optimal coverage of ecosystem services in LCA.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WEED6R2C","journalArticle","2018","Kim, H.; Rosa, I.M.D.; Alkemade, R.; Leadley, P.; Hurtt, G.; Popp, A.; Vuuren, D.P.; Anthoni, P.; Arneth, A.; Baisero, D.; Caton, E.; Chaplin-Kramer, R.; Chini, L.; Palma, A.; Fulvio, F.; Marco, M.; Espinoza, F.; Ferrier, S.; Fujimori, S.; Gonzalez, R.E.; Gueguen, M.; Guerra, C.; Harfoot, M.; Harwood, T.D.; Hasegawa, T.; Haverd, V.; Havlík, P.; Hellweg, S.; Hill, S.L.L.; Hirata, A.; Hoskins, A.J.; Janse, J.H.; Jetz, W.; Johnson, J.A.; Krause, A.; Leclère, D.; Martins, I.S.; Matsui, T.; Merow, C.; Obersteiner, M.; Ohashi, H.; Poulter, B.; Purvis, A.; Quesada, B.; Rondinini, C.; Schipper, A.M.; Sharp, R.; Takahashi, K.; Thuiller, W.; Titeux, N.; Visconti, P.; Ware, C.; Wolf, F.; Pereira, H.M.","A protocol for an intercomparison of biodiversity and ecosystem services models using harmonized land-use and climate scenarios","Geosci. Model Dev","","","10.5194/gmd-11-4537-2018","","","2018","2023-10-20 14:17:08","2023-10-20 14:17:11","","4537–4562","","11","11","","","","","","","","","","it","","","","","","","Citation Key: kim2018a","","/Users/rainerkrug/Zotero [IPBES_BBA_Ch4_Snowball_Pilot_1] /storage/KH7FLNFF/Kim et al_2018_A protocol for an intercomparison of biodiversity and ecosystem services models.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LTBE8VDW","journalArticle","2018","Woods, J.S.; Damiani, M.; Fantke, P.; Henderson, A.D.; Johnston, J.M.; Bare, J.; Sala, S.; Souza, D.Maia; Pfister, S.; Posthuma, L.; Rosenbaum, R.K.; Verones, F.","Ecosystem quality in LCIA: status quo, harmonization, and suggestions for the way forward","The International Journal of Life Cycle Assessment","","","10.1007/s11367-017-1422-8","","","2018","2023-10-20 14:17:08","2023-10-20 14:17:11","","1995–2006","","10","23","","","","","","","","","","en","","","","","","","Citation Key: woods2018a","","/Users/rainerkrug/Zotero [IPBES_BBA_Ch4_Snowball_Pilot_1] /storage/ZGHW5ZV8/Woods et al_2018_Ecosystem quality in LCIA.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K4VVIIUA","journalArticle","2020","Verones, F.; Hellweg, S.; Antón, A.; Azevedo, L.B.; Chaudhary, A.; Cosme, N.; Cucurachi, S.; Baan, L.; Dong, Y.; Fantke, P.; Golsteijn, L.; Hauschild, M.Z.; Heijungs, R.; Jolliet, O.; Juraske, R.; Larsen, H.F.; Laurent, A.; Mutel, C.L.; Margni, M.; Núñez, M.; Owsianiak, M.; Pfister, S.; Ponsioen, T.C.; Preiss, P.; Rosenbaum, R.; Roy, P.-O.; Sala, S.; Steinmann, Z.; Zelm, R.; Dingenen, R.; Vieira, M.; Huijbregts, M.A.J.","LC-IMPACT: a regionalized life cycle damage assessment method","Journal of Industrial Ecology","","","10.1111/jiec.13018","","","2020","2023-10-20 14:17:08","2023-10-20 14:17:11","","","","","","","","","","","","","","","en","","","","","","","Citation Key: verones2020a","","/Users/rainerkrug/Zotero [IPBES_BBA_Ch4_Snowball_Pilot_1] /storage/NNQ7XV3F/Verones et al_2020_LC-IMPACT.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TXP4GS8V","journalArticle","2017","Huijbregts, M.A.J.; Steinmann, Z.J.N.; Elshout, P.M.F.; Stam, G.; Verones, F.; Vieira, M.; Zijp, M.; Hollander, A.; Zelm, R.","ReCiPe2016: a harmonised life cycle impact assessment method at midpoint and endpoint level","The International Journal of Life Cycle Assessment","","","10.1007/s11367-016-1246-y","","","2017","2023-10-20 14:17:08","2023-10-20 14:17:11","","138–147","","2","22","","","","","","","","","","en","","","","","","","Citation Key: huijbregts2017a","","/Users/rainerkrug/Zotero [IPBES_BBA_Ch4_Snowball_Pilot_1] /storage/FEQJ87AN/Huijbregts et al_2017_ReCiPe2016.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65DV9WUU","journalArticle","2003","Itsubo, N.; Inaba, A.","A new LCIA method: LIME has been completed","The International Journal of Life Cycle Assessment","","","10.1007/BF02978923","","","2003","2023-10-20 14:17:08","2023-10-20 14:17:12","","305–305","","5","8","","","","","","","","","","en","","","","","","","Citation Key: itsubo2003a","","/Users/rainerkrug/Zotero [IPBES_BBA_Ch4_Snowball_Pilot_1] /storage/CMB2YIS3/Itsubo_Inaba_2003_A new LCIA method.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9HC4G545","journalArticle","2019","Bulle, C.; Margni, M.; Patouillard, L.; Boulay, A.-M.; Bourgault, G.; Bruille, V.; Cao, V.; Hauschild, M.Z.; Henderson, A.; Humbert, S.; Kashef-Haghighi, S.; Kounina, A.; Laurent, A.; Levasseur, A.; Liard, G.; Rosenbaum, R.; Roy, P.-O.; Shaked, S.; Fantke, P.; Jolliet, O.","IMPACT World+: A globally regionalized life cycle impact assessment method","International Journal of LCA","","","10.1007/s11367-019-01583-0","","","2019","2023-10-20 14:17:08","2023-10-20 14:17:11","","","","","","","","","","","","","","","en","","","","","","","Citation Key: bulle2019a","","/Users/rainerkrug/Zotero [IPBES_BBA_Ch4_Snowball_Pilot_1] /storage/3SRXNXAM/Bulle et al_2019_IMPACT World+.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YCNEHG7R","journalArticle","2016","Bjørn, A.; Margni, M.; Roy, P.-O.; Bulle, C.; Hauschild, M.Z.","A proposal to measure absolute environmental sustainability in life cycle assessment","Ecological Indicators","","","10.1016/j.ecolind.2015.11.046","","","2016","2023-10-20 14:17:08","2023-10-20 14:17:12","","1–13","","","63","","","","","","","","","","fr","","","","","","","Citation Key: bj2016a","","/Users/rainerkrug/Zotero [IPBES_BBA_Ch4_Snowball_Pilot_1] /storage/TK53KIGC/Bjørn et al_2016_A proposal to measure absolute environmental sustainability in life cycle.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WVLR8BW","journalArticle","2023","Sanyé-Mengual, E.; Biganzoli, F.; Valente, A.","What are the main environmental impacts and products contributing to the biodiversity footprint of EU consumption? A comparison of life cycle impact assessment methods and models","The international journal of life cycle assessment","","","10.1007/s11367-023-02169-7","","","2023","2023-10-20 14:17:08","2023-10-20 14:17:08","","1194–1210","","","28","","Int J Life Cycle Assess","","","","","","","","en","","","","","","","Citation Key: sany2023a","","/Users/rainerkrug/Zotero [IPBES_BBA_Ch4_Snowball_Pilot_1] /storage/IR7Q9IZG/Sanyé-Mengual et al_2023_What are the main environmental impacts and products contributing to the.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DL8FPJIZ","journalArticle","2017","Bigard, C.; Pioch, S.; Thompson, J.D.","The inclusion of biodiversity in environmental impact assessment: Policy-related progress limited by gaps and semantic confusion","Journal of Environmental Management","","","10.1016/j.jenvman.2017.05.057","","","2017","2023-10-20 14:17:08","2023-10-20 14:17:12","","35–45","","","200","","","","","","","","","","en","","","","","","","Citation Key: bigard2017a","","/Users/rainerkrug/Zotero [IPBES_BBA_Ch4_Snowball_Pilot_1] /storage/U5B6G2HK/Bigard et al_2017_The inclusion of biodiversity in environmental impact assessment.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JSUNTG25","journalArticle","2014","Angeler, D.G.; Allen, C.R.; Birgé, H.E.; Drakare, S.; McKie, B.G.; Johnson, R.K.","Assessing and managing freshwater ecosystems vulnerable to environmental change","AMBIO","","","10.1007/s13280-014-0566-z","","","2014","2023-10-20 14:17:08","2023-10-20 14:17:13","","113–125","","1","43","","","","","","","","","","it","","","","","","","Citation Key: angeler2014a","","/Users/rainerkrug/Zotero [IPBES_BBA_Ch4_Snowball_Pilot_1] /storage/2X7HKUHG/Angeler et al_2014_Assessing and managing freshwater ecosystems vulnerable to environmental change.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N2Y8MV7D","journalArticle","2008","Butchart, S.H.M.","Red List Indices to measure the sustainability of species use and impacts of invasive alien species","Bird Conservation International","","","10.1017/S095927090800035X","","","2008","2023-10-20 14:17:08","2023-10-20 14:17:13","","245– 262","","S1","18","","","","","","","","","","en","","","","","","","Citation Key: butchart2008a","","/Users/rainerkrug/Zotero [IPBES_BBA_Ch4_Snowball_Pilot_1] /storage/7MG8B5HX/Butchart_2008_Red List Indices to measure the sustainability of species use and impacts of.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJ9J4XVG","document","2018","Hill, S.L.L.; Gonzalez, R.; Sanchez-Ortiz, K.; Caton, E.; Espinoza, F.; Newbold, T.; Tylianakis, J.; Scharlemann, J.P.W.; Palma, A.; Purvis, A.","Worldwide impacts of past and projected future land-use change on local species richness and the Biodiversity Intactness Index","","","","","","","2018","2023-10-20 14:17:08","2023-10-20 14:17:08","","","","","","","","","","","","","","","en","","","","","","","Citation Key: hill2018a","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
